state,year,filetype,pmt_var,method,claim_count,25%,50%,75%,max,mean,min,std,var
AK,2014,max,--,file_unavailable,--, -- , -- , -- , -- , -- , -- , -- ,--
AL,2014,max,--,file_unavailable,--, -- , -- , -- , -- , -- , -- , -- ,--
AR,2014,max,--,no_valid_method,--, -- , -- , -- , -- , -- , -- , -- ,--
AZ,2014,max,--,file_unavailable,--, -- , -- , -- , -- , -- , -- , -- ,--
CA,2014,max,PER_DIEM,estimated_allowed_amount_C,512142, $168 , $187 , $221 ," $2,171 ", $214 , $17 , $97 ,9487.121871
CA,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,496451, $128 , $144 , $160 ," $1,106 ", $161 , $10 , $76 ,5754.257023
CO,2014,max,--,file_unavailable,--, -- , -- , -- , -- , -- , -- , -- ,--
CT,2014,max,--,file_unavailable,--, -- , -- , -- , -- , -- , -- , -- ,--
DC,2014,max,--,file_unavailable,--, -- , -- , -- , -- , -- , -- , -- ,--
DE,2014,max,--,file_unavailable,--, -- , -- , -- , -- , -- , -- , -- ,--
FL,2014,max,--,no_valid_method,--, -- , -- , -- , -- , -- , -- , -- ,--
GA,2014,max,--,no_valid_method,--, -- , -- , -- , -- , -- , -- , -- ,--
HI,2014,max,--,low_claim_count,7, -- , -- , -- , -- , -- , -- , -- ,--
IA,2014,max,PER_DIEM,estimated_allowed_amount_C,131615, $150 , $167 , $180 ," $2,381 ", $172 , $90 , $74 ,5540.42176
IA,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,130849, $174 , $190 , $204 ," $2,568 ", $198 , $91 , $85 ,7270.948749
ID,2014,max,--,no_valid_method,--, -- , -- , -- , -- , -- , -- , -- ,--
IL,2014,max,--,no_valid_method,--, -- , -- , -- , -- , -- , -- , -- ,--
IN,2014,max,PER_DIEM,estimated_allowed_amount_C,494534, $168 , $180 , $193 , $892 , $188 , $18 , $51 ,2554.942613
IN,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,482514, $181 , $197 , $214 , $928 , $206 , $18 , $56 ,3114.788057
KS,2014,max,--,file_unavailable,--, -- , -- , -- , -- , -- , -- , -- ,--
KY,2014,max,PER_DIEM,estimated_allowed_amount_C,167141, $168 , $181 , $198 ," $1,609 ", $189 , $32 , $59 ,3448.981203
KY,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,158720, $210 , $219 , $232 ," $1,692 ", $230 , $34 , $71 ,5065.282021
LA,2014,max,PER_DIEM,estimated_allowed_amount_B,196532, $121 , $134 , $146 , $537 , $135 , $35 , $38 ,1477.596761
LA,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_B,177380, $150 , $167 , $184 , $713 , $169 , $40 , $50 ,2478.894607
MA,2014,max,PER_DIEM,estimated_allowed_amount_C,294818, $172 , $203 , $226 ," $1,674 ", $209 , $39 , $85 ,7265.078116
MA,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,277836, $147 , $171 , $196 ," $1,440 ", $177 , $30 , $67 ,4547.232774
MD,2014,max,--,file_unavailable,--, -- , -- , -- , -- , -- , -- , -- ,--
ME,2014,max,--,no_valid_method,--, -- , -- , -- , -- , -- , -- , -- ,--
MI,2014,max,PER_DIEM,estimated_allowed_amount_C,259521, $170 , $192 , $208 , $950 , $198 , $61 , $63 ,4019.587161
MI,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,263389, $185 , $213 , $244 ," $1,137 ", $224 , $55 , $74 ,5422.906633
MN,2014,max,--,file_unavailable,--, -- , -- , -- , -- , -- , -- , -- ,--
MO,2014,max,PER_DIEM,estimated_allowed_amount_C,230222, $146 , $154 , $161 ," $2,437 ", $173 , $38 , $71 ,5089.967477
MO,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,233943, $169 , $178 , $195 ," $3,134 ", $200 , $40 , $84 ,7010.083824
MS,2014,max,PER_DIEM,estimated_allowed_amount_C,161653, $175 , $189 , $203 , $412 , $193 , $27 , $33 ,1093.246546
MS,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,161843, $225 , $244 , $260 , $544 , $247 , $33 , $43 ,1878.298935
MT,2014,max,--,file_unavailable,--, -- , -- , -- , -- , -- , -- , -- ,--
NC,2014,max,--,no_valid_method,--, -- , -- , -- , -- , -- , -- , -- ,--
ND,2014,max,--,no_valid_method,--, -- , -- , -- , -- , -- , -- , -- ,--
NE,2014,max,--,no_valid_method,--, -- , -- , -- , -- , -- , -- , -- ,--
NH,2014,max,--,no_valid_method,--, -- , -- , -- , -- , -- , -- , -- ,--
NJ,2014,max,PER_DIEM,estimated_allowed_amount_C,275642, $199 , $208 , $217 ," $1,608 ", $215 , $104 , $78 ,6123.323533
NJ,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,137968, $181 , $190 , $201 ," $1,744 ", $199 , $85 , $72 ,5232.612322
NM,2014,max,--,file_unavailable,--, -- , -- , -- , -- , -- , -- , -- ,--
NV,2014,max,--,no_valid_method,--, -- , -- , -- , -- , -- , -- , -- ,--
NY,2014,max,--,file_unavailable,--, -- , -- , -- , -- , -- , -- , -- ,--
OH,2014,max,PER_DIEM,estimated_allowed_amount_C,275431, $155 , $170 , $181 , $566 , $164 , $36 , $43 ,1819.003383
OH,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,278107, $178 , $191 , $203 , $847 , $184 , $37 , $48 ,2271.648329
OK,2014,max,PER_DIEM,estimated_allowed_amount_C,155605, $140 , $144 , $146 , $704 , $145 , $12 , $21 ,439.3350492
OK,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,152124, $167 , $179 , $186 , $865 , $179 , $15 , $27 ,710.9883061
OR,2014,max,PER_DIEM,estimated_allowed_amount_C,31855, $257 , $258 , $286 ," $1,545 ", $286 , $50 , $72 ,5180.97232
OR,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,30779, $219 , $231 , $273 ," $1,638 ", $260 , $42 , $70 ,4863.275691
PA,2014,max,PER_DIEM,estimated_allowed_amount_C,557155, $180 , $200 , $221 ," $1,723 ", $206 , $111 , $72 ,5136.81935
PA,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,559582, $201 , $221 , $246 ," $2,170 ", $231 , $99 , $82 ,6669.750036
RI,2014,max,--,file_unavailable,--, -- , -- , -- , -- , -- , -- , -- ,--
SC,2014,max,--,no_valid_method,--, -- , -- , -- , -- , -- , -- , -- ,--
SD,2014,max,PER_DIEM,estimated_allowed_amount_C,40930, $113 , $130 , $148 ," $1,168 ", $137 , $75 , $57 ,3296.489248
SD,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,40844, $136 , $156 , $179 ," $1,430 ", $165 , $79 , $67 ,4546.132074
TN,2014,max,--,low_claim_count,--, -- , -- , -- , -- , -- , -- , -- ,--
TX,2014,max,PER_DIEM,estimated_allowed_amount_B,3011091, $82 , $107 , $139 ," $1,237 ", $111 , $7 , $38 ,1411.669878
TX,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_B,2953225, $93 , $121 , $155 ," $1,292 ", $126 , $7 , $43 ,1891.584291
UT,2014,max,PER_DIEM,estimated_allowed_amount_C,39592, $164 , $173 , $184 , $862 , $191 , $79 , $89 ,7833.930142
