,state,year,filetype,pmt_var,method,mean,25%,50%,75%,count,max,min,std,var
0,AK,2011,max,PER_DIEM,estimated_allowed_amount_C,540.390870346179,366.39,526.94,591.8,6124.0,3181.9,205.28,263.7519270940121,69565.07904580508
1,AK,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,434.8893330251314,306.24373119358074,416.3709805163948,507.6895306859205,6087.0,2871.750902527076,162.58514177094884,186.36393216249343,34731.51521106645
2,AL,2011,max,PER_DIEM,estimated_allowed_amount_C,188.47151748668995,171.53,182.7,194.23,217880.0,496.5,32.03,43.49026756691776,1891.4033730420988
3,AL,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,238.54470898685543,209.32249322493223,231.8289504856669,254.66124661246613,199775.0,691.5041782729805,43.40108401084011,57.01361886383184,3250.552735950282
4,AR,2011,max,,no_valid_method,,,,,,,,,
5,AZ,2011,max,PER_DIEM,estimated_allowed_amount_C,151.17550972501675,124.875,145.58,164.33,5964.0,923.33,11.06,67.63260391520687,4574.169112351256
6,AZ,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,154.60135499505728,127.5335530016877,150.88510170423308,169.90041760359782,6274.0,867.6282653636534,12.160527762506872,66.0381524973717,4361.037585266119
7,CA,2011,max,PER_DIEM,estimated_allowed_amount_C,196.17922745475997,158.0,173.55,201.61,582063.0,895.25,15.71,84.4732989811687,7135.738240761915
8,CA,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,153.57805203470193,125.85911703558764,138.37510803802937,151.75453759723425,564213.0,765.8466118017859,9.60621254738902,67.20304271217744,4516.248949774745
9,CO,2011,max,PER_DIEM,estimated_allowed_amount_C,184.49439772567268,165.53,178.83,195.35,149143.0,808.14,27.9,43.2139515951972,1867.4456124720464
10,CO,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,181.7422019582134,162.3437208434409,176.34445591101937,191.8548236611308,154708.0,847.953216374269,26.03097592834484,41.98009464361996,1762.3283462872892
11,CT,2011,max,PER_DIEM,estimated_allowed_amount_C,234.35038926007385,211.1,228.0,239.13,192776.0,1112.5,61.42,74.87544838309005,5606.332770568781
12,CT,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,207.8795442416898,184.68953538862357,198.2703395259449,212.14422988926512,182986.0,1163.1032376298106,48.95194070295689,67.91376810588491,4612.279898339911
13,DC,2011,max,PER_DIEM,estimated_allowed_amount_C,279.09713632109805,230.6,237.67,289.37,28851.0,1019.0,28.06,111.82850425967742,12505.61436495669
14,DC,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,253.59227194629025,210.78989088874383,244.1089918256131,260.0217983651226,1990.0,599.1793341415648,26.168049986011376,77.22322355096611,5963.426255602488
15,DE,2011,max,PER_DIEM,estimated_allowed_amount_C,226.3374055515264,191.43,208.52,233.81,30334.0,1088.75,34.9,83.90980518834192,7040.8554067454925
16,DE,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,223.16646180682903,188.8563327032136,211.0383120488617,235.25519848771265,29621.0,1330.0794135613928,32.986767485822305,81.54001502570323,6648.774050391908
17,FL,2011,max,,no_valid_method,,,,,,,,,
18,GA,2011,max,,no_valid_method,,,,,,,,,
19,HI,2011,max,PER_DIEM,estimated_allowed_amount_C,338.4670434782609,220.32,239.7,265.91,115.0,1072.4,169.33,254.2896370213412,64663.21949644547
20,HI,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,343.2683094042408,195.1336133702744,214.8538743408705,269.3002055590312,79.0,958.4413263026188,151.33613370274378,264.11662374726563,69757.59093965469
21,IA,2011,max,PER_DIEM,estimated_allowed_amount_C,155.06215016909223,134.8,149.57,163.47,131585.0,1860.67,83.71,63.14524129557228,3987.321498276048
22,IA,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,173.1591705211761,150.34819665315456,165.15151515151516,182.2027889387852,63898.0,2177.495611468695,79.0238836967809,70.2838756472975,4939.82317600478
23,ID,2011,max,,no_valid_method,,,,,,,,,
24,IL,2011,max,,no_valid_method,,,,,,,,,
25,IN,2011,max,PER_DIEM,estimated_allowed_amount_C,150.29068059148017,143.9,153.45,161.14,303104.0,572.6,1.47,30.318200241365663,919.1932658755449
26,IN,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,167.76314916064914,157.2994210090984,168.82803943044905,183.52997258967943,275857.0,673.102133237993,1.743151903237282,35.67479450308221,1272.6909628371448
27,KS,2011,max,PER_DIEM,estimated_allowed_amount_C,150.4555926899759,133.67,148.4,165.57,138057.0,750.0,16.77,35.54109265485668,1263.1692671011072
28,KS,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,176.95605372078668,156.58438792131312,174.12971404890175,193.37175792507205,133086.0,819.1925102399064,17.37463738085371,40.77407471685872,1662.5251690159778
29,KY,2011,max,PER_DIEM,estimated_allowed_amount_C,179.20565302816172,157.37,168.29,182.23,145055.0,1401.0,20.71,64.55318514819024,4167.11371277653
30,KY,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,216.41280649535005,194.2911877394636,203.5746402877698,214.02877697841728,129653.0,1789.2720306513409,26.44955300127714,74.87047634901468,5605.588228728368
31,LA,2011,max,PER_DIEM,estimated_allowed_amount_B,117.45468749675666,105.97,118.39,129.37,192702.0,421.0,2.41,29.689865759196195,881.4881287990906
32,LA,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_B,139.17679028292864,119.96831574324312,136.96802646086,152.12158248253868,5523.0,486.9035269709544,26.71444321940463,47.425136487773614,2249.1435708839563
33,MA,2011,max,PER_DIEM,estimated_allowed_amount_C,218.8659811099652,171.07,203.0,225.77,313181.0,3973.5,40.45,119.08790776505988,14181.929775859408
34,MA,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,196.20713179075724,155.35111111111112,183.5075197552893,207.84020907224195,301963.0,3376.242671424929,34.36995496643725,99.01774774043987,9804.514367589389
35,MD,2011,max,PER_DIEM,estimated_allowed_amount_C,233.27368661848533,210.48,223.16,235.45,174203.0,1559.25,74.0,71.41146015026736,5099.596640793223
36,MD,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,235.74838386748743,210.78989088874383,223.93954168698195,245.0899182561308,167709.0,1401.3439218081858,69.01053809568218,68.09850705672827,4637.406663355269
37,ME,2011,max,,no_valid_method,,,,,,,,,
38,MI,2011,max,PER_DIEM,estimated_allowed_amount_C,183.1219739701964,156.53,177.58,190.73,268692.0,950.0,58.97,58.50262157650967,3422.5567313242946
39,MI,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,201.9762307793031,168.82152799257656,191.0196927518301,217.58036236119227,271405.0,1068.3810637054353,51.29610299234516,65.94200267025698,4348.347716164179
40,MO,2011,max,PER_DIEM,estimated_allowed_amount_C,151.27654395141133,129.29,136.87,144.45,268046.0,2070.5,47.39,61.729806921739474,3810.5690625952334
