state,year,pmt_var,method,claim_count,25%,50%,75%,max,mean,min,std,var
AK,2017,--,outlier,--,--,--,--,--,--,--,--,--
AL,2017,PER_DIEM,allowed_amount,271878,$190 ,$203 ,$214 ,$561 ,$211 ,$45 ,$50 ,2512.272762
AL,2017,PER_DIEM_wage_adj,allowed_amount,255038,$250 ,$276 ,$301 ,$816 ,$285 ,$79 ,$69 ,4784.534664
AR,2017,PER_DIEM,allowed_amount,857299,$176 ,$195 ,$207 ,$725 ,$208 ,$13 ,$65 ,4184.588974
AR,2017,PER_DIEM_wage_adj,allowed_amount,847842,$230 ,$250 ,$277 ,$988 ,$269 ,$16 ,$82 ,6734.453509
AZ,2017,PER_DIEM,allowed_amount,14928,$158 ,$166 ,$201 ,$983 ,$209 ,$17 ,$101 ,10249.75329
AZ,2017,PER_DIEM_wage_adj,allowed_amount,14892,$170 ,$185 ,$220 ,$970 ,$210 ,$22 ,$89 ,7972.84504
CA,2017,--,outlier,--,--,--,--,--,--,--,--,--
CO,2017,PER_DIEM,allowed_amount,281141,$201 ,$217 ,$235 ,"$1,091 ",$221 ,$24 ,$38 ,1470.931196
CO,2017,PER_DIEM_wage_adj,allowed_amount,308133,$200 ,$216 ,$229 ,"$1,174 ",$219 ,$24 ,$38 ,1413.530969
CT,2017,PER_DIEM,allowed_amount,217082,$223 ,$242 ,$252 ,"$2,774 ",$266 ,$5 ,$117 ,13589.3844
CT,2017,PER_DIEM_wage_adj,allowed_amount,210628,$188 ,$203 ,$223 ,"$2,547 ",$225 ,$5 ,$101 ,10272.66926
DC,2017,PER_DIEM,allowed_amount,84841,$277 ,$299 ,$337 ,"$5,057 ",$387 ,$31 ,$227 ,51683.89557
DC,2017,PER_DIEM_wage_adj,allowed_amount,8039,$243 ,$249 ,$268 ,$767 ,$256 ,$30 ,$56 ,3180.892983
DE,2017,--,outlier,--,--,--,--,--,--,--,--,--
FL,2017,PER_DIEM,allowed_amount,190292,$198 ,$225 ,$259 ,$707 ,$218 , $-   ,$123 ,15141.60736
